id,key,type,value
35873651,highway,regular,residential
35873651,name,regular,South End Park
35873784,highway,regular,primary
35873784,oneway,regular,yes
35875114,highway,regular,residential
35875115,highway,regular,residential
35875115,name,regular,Haripada Dutta Lane
35875117,highway,regular,residential
35875243,highway,regular,secondary
35875243,lanes,regular,3
35875243,maxspeed,regular,40
35875243,name,regular,Dr. Meghnad Saha Road
35875243,oneway,regular,yes
35875250,highway,regular,tertiary
35875250,maxspeed,regular,40
35875250,name,regular,Purna Das Road
35875255,highway,regular,residential
35875255,name,regular,Hindustan Park
35875256,highway,regular,residential
35875256,name,regular,Hindustan Park
35875257,highway,regular,residential
35875266,highway,regular,tertiary
35875266,maxspeed,regular,40
35875266,name,regular,Jatin Bagchi Road
35875269,leisure,regular,park
35875269,name,regular,Vivekanada Park
35875272,highway,regular,tertiary
35875272,maxspeed,regular,40
35875272,name,regular,Kavi Barathi Road
35875281,highway,regular,residential
35875281,name,regular,Dr Sarat Banerjee Road
35875292,highway,regular,tertiary
35875292,maxspeed,regular,40
35875292,name,regular,Kavi Barathi Road
35875293,highway,regular,tertiary
35875293,maxspeed,regular,40
35875293,name,regular,Jatin Das Road
35875297,highway,regular,tertiary
35875297,maxspeed,regular,40
35875297,name,regular,Jadunath Sarkar Road
35875302,highway,regular,residential
35875305,highway,regular,tertiary
35875305,maxspeed,regular,30
35875305,name,regular,Kavi Barathi Road
35875321,highway,regular,residential
35875321,maxspeed,regular,40
35875321,name,regular,Sardar Sankar Road
35875331,highway,regular,residential
35875331,name,regular,Dr Sarat Banerjee Road
35875337,leisure,regular,park
35875337,name,regular,Deshapriya Park
35875339,highway,regular,tertiary
35875339,name,regular,Manohar Pukur Road
35875347,highway,regular,tertiary
35875347,maxspeed,regular,40
35875347,name,regular,Mahanirban Road
35875366,highway,regular,residential
35875366,maxspeed,regular,40
35875366,name,regular,Ramani Chatterji Road
35875487,highway,regular,residential
35875487,name,regular,Garcha Road
36163445,building,regular,yes
36163445,name,regular,Taj Bengal
36163445,tourism,regular,hotel
36164392,highway,regular,tertiary
36164392,name,regular,Reformatry Road
36164392,surface,regular,asphalt
36164393,highway,regular,trunk
